DB       6.00  15000.0 -10.0000  0.7305  0.8158 -1.5515  0.6715  0.0004 0.301144E-03  0.1190 u' 
DB       6.00  16000.0 -10.0000  0.1847  1.8625 -2.3926  0.9179  0.0002 0.349340E-03  0.2624 u' 
DB       6.00  17000.0 -10.0000  0.0296  1.8232 -2.0523  0.7210  0.0000 0.396152E-03  0.3868 u' 
DB       6.00  18000.0 -10.0000  0.0869  1.3072 -1.2890  0.3943  0.0000 0.437164E-03  0.4956 u' 
DB       6.00  19000.0 -10.0000  0.2268  0.7015 -0.5582  0.1179  0.0000 0.457291E-03  0.5914 u' 
DB       6.00  20000.0 -10.0000  0.3656  0.2183 -0.0699 -0.0391  0.0000 0.468302E-03  0.6764 u' 
DB       6.00  21000.0 -10.0000  0.4248  0.0518  0.0230 -0.0397  0.0000 0.492814E-03  0.7522 u' 
DB       6.00  22000.0 -10.0000  0.4380  0.0087  0.0433 -0.0383  0.0000 0.536525E-03  0.8202 u' 
DB       6.00  23000.0 -10.0000  0.4451 -0.0232  0.0716 -0.0479  0.0000 0.584445E-03  0.8814 u' 
DB       6.00  24000.0 -10.0000  0.4494 -0.0444  0.0893 -0.0543  0.0000 0.634121E-03  0.9369 u' 
DB       6.00  25000.0 -10.0000  0.4521 -0.0591  0.0992 -0.0574  0.0000 0.685323E-03  0.9873 u' 
DB       6.00  26000.0 -10.0000  0.4557 -0.0757  0.1105 -0.0609  0.0000 0.738079E-03  1.0334 u' 
DB       6.00  27000.0 -10.0000  0.4601 -0.0944  0.1238 -0.0648  0.0000 0.792533E-03  1.0755 u' 
DB       6.00  28000.0 -10.0000  0.4653 -0.1155  0.1400 -0.0698  0.0000 0.849007E-03  1.1143 u' 
DB       6.00  29000.0 -10.0000  0.4702 -0.1344  0.1533 -0.0735  0.0000 0.907956E-03  1.1501 u' 
DB       6.00  30000.0 -10.0000  0.4770 -0.1602  0.1756 -0.0808  0.0000 0.969334E-03  1.1831 u' 
DB       6.00  31000.0 -10.0000  0.4858 -0.1911  0.2034 -0.0901  0.0000 0.103390E-02  1.2138 u' 
DB       6.00  32000.0 -10.0000  0.4976 -0.2297  0.2404 -0.1029  0.0000 0.110201E-02  1.2423 u' 
DB       6.00  33000.0 -10.0000  0.5129 -0.2769  0.2863 -0.1189  0.0000 0.117467E-02  1.2688 u' 
DB       6.00  34000.0 -10.0000  0.5340 -0.3380  0.3469 -0.1402  0.0000 0.125239E-02  1.2936 u' 
DB       6.00  35000.0 -10.0000  0.5617 -0.4153  0.4252 -0.1682  0.0000 0.133593E-02  1.3168 u' 
DB       6.00  36000.0 -10.0000  0.5968 -0.5084  0.5185 -0.2012  0.0001 0.142650E-02  1.3386 u' 
DB       6.00  37000.0 -10.0000  0.6391 -0.6162  0.6254 -0.2382  0.0001 0.152519E-02  1.3591 u' 
DB       6.00  38000.0 -10.0000  0.6872 -0.7337  0.7395 -0.2764  0.0001 0.163401E-02  1.3783 u' 
DB       6.00  39000.0 -10.0000  0.7411 -0.8603  0.8605 -0.3155  0.0001 0.175653E-02  1.3965 u' 
DB       6.00  40000.0 -10.0000  0.8037 -1.0075  1.0051 -0.3635  0.0001 0.189821E-02  1.4136 u' 
DB       6.50  10000.0 -10.0000  1.9118 -2.2141  1.6826 -0.5262  0.0000 0.881284E-04 -1.0997 u' 
DB       6.50  11000.0 -10.0000  2.0085 -2.4322  1.8783 -0.5927  0.0000 0.123581E-03 -0.7571 u' 
DB       6.50  12000.0 -10.0000  1.9651 -2.2954  1.6961 -0.5175  0.0000 0.163515E-03 -0.4768 u' 
DB       6.50  13000.0 -10.0000  1.8541 -1.9998  1.3483 -0.3811  0.0001 0.206931E-03 -0.2439 u' 
DB       6.50  14000.0 -10.0000  1.6416 -1.4709  0.7723 -0.1639  0.0001 0.252989E-03 -0.0479 u' 
