step,q,iangle,r1,velocity_scale,chisq
167,1.27786,57.9613,0.122772,515.652,171.137
168,1.22526,55.6105,0.128549,507.843,172.539
169,1.19416,53.5261,0.131139,504.681,172.839
170,1.20494,53.2543,0.126471,513.137,171.294
171,1.20494,53.2543,0.126471,513.137,171.294
172,1.20494,53.2543,0.126471,513.137,171.294
173,1.20494,53.2543,0.126471,513.137,171.294
174,1.20494,53.2543,0.126471,513.137,171.294
175,1.18201,55.4126,0.127508,522.757,170.529
176,1.18201,55.4126,0.127508,522.757,170.529
177,1.21527,54.3546,0.128091,517.206,170.554
178,1.21527,54.3546,0.128091,517.206,170.554
179,1.16484,53.572,0.131095,511.684,171.951
180,1.15765,52.6192,0.128181,505.793,171.836
181,1.15765,52.6192,0.128181,505.793,171.836
182,1.1719,53.6356,0.130458,504.692,171.853
183,1.1719,53.6356,0.130458,504.692,171.853
184,1.1719,53.6356,0.130458,504.692,171.853
185,1.1719,53.6356,0.130458,504.692,171.853
186,1.1719,53.6356,0.130458,504.692,171.853
187,1.1719,53.6356,0.130458,504.692,171.853
188,1.1719,53.6356,0.130458,504.692,171.853
189,1.1719,53.6356,0.130458,504.692,171.853
190,1.1719,53.6356,0.130458,504.692,171.853
191,1.1719,53.6356,0.130458,504.692,171.853
192,1.1719,53.6356,0.130458,504.692,171.853
193,1.1719,53.6356,0.130458,504.692,171.853
194,1.1719,53.6356,0.130458,504.692,171.853
195,1.1719,53.6356,0.130458,504.692,171.853
196,1.1719,53.6356,0.130458,504.692,171.853
197,1.1719,53.6356,0.130458,504.692,171.853
198,1.14697,53.8387,0.129547,511.215,171.191
199,1.1801,51.862,0.129368,496.545,171.625
200,1.1801,51.862,0.129368,496.545,171.625
201,1.0634,52.4502,0.130927,491.169,173.621
202,1.0634,52.4502,0.130927,491.169,173.621
203,1.0634,52.4502,0.130927,491.169,173.621
204,1.0634,52.4502,0.130927,491.169,173.621
205,1.0634,52.4502,0.130927,491.169,173.621
206,1.1049,51.8306,0.13448,488.088,171.911
207,1.1049,51.8306,0.13448,488.088,171.911
208,1.1049,51.8306,0.13448,488.088,171.911
209,1.0508,50.64,0.139936,482.031,173.276
210,1.03407,51.4908,0.136305,491.287,171.904
211,1.03407,51.4908,0.136305,491.287,171.904
212,1.03407,51.4908,0.136305,491.287,171.904
213,1.03407,51.4908,0.136305,491.287,171.904
214,1.03407,51.4908,0.136305,491.287,171.904
215,1.03407,51.4908,0.136305,491.287,171.904
216,1.06481,52.502,0.131378,483.486,173.191
217,1.16266,53.1808,0.129805,497.002,171.023
218,1.16266,53.1808,0.129805,497.002,171.023
219,1.16266,53.1808,0.129805,497.002,171.023
220,1.16266,53.1808,0.129805,497.002,171.023
221,1.07451,54.5788,0.129844,504.497,170.788
222,1.07451,54.5788,0.129844,504.497,170.788
223,1.07451,54.5788,0.129844,504.497,170.788
224,1.07451,54.5788,0.129844,504.497,170.788
225,1.07451,54.5788,0.129844,504.497,170.788
226,1.07451,54.5788,0.129844,504.497,170.788
227,1.07451,54.5788,0.129844,504.497,170.788
228,1.07451,54.5788,0.129844,504.497,170.788
229,1.07451,54.5788,0.129844,504.497,170.788
230,1.07451,54.5788,0.129844,504.497,170.788
231,1.07451,54.5788,0.129844,504.497,170.788
232,1.07451,54.5788,0.129844,504.497,170.788
233,1.07451,54.5788,0.129844,504.497,170.788
234,1.07451,54.5788,0.129844,504.497,170.788
235,1.04772,53.4706,0.133786,514.661,171.546
236,1.04772,53.4706,0.133786,514.661,171.546
237,1.04772,53.4706,0.133786,514.661,171.546
238,1.04772,53.4706,0.133786,514.661,171.546
239,1.04772,53.4706,0.133786,514.661,171.546
240,1.04772,53.4706,0.133786,514.661,171.546
241,1.1051,53.8126,0.132221,514.829,171.472
242,1.1051,53.8126,0.132221,514.829,171.472
243,1.13354,55.3272,0.132325,518.338,172.93
244,1.13748,55.9401,0.130476,531.97,171.54
